body,title
"MANILA, Philippines - Sen. Leila de Lima collected 1 billions from high-profile inmates in New Bilibid Prison (NBP) in Muntinlupa City when she was still justice secretary in the previous administration.This was the common allegation raised by several inmates in their affidavits submitted to the Department of Justice (DOJ). Drug and robbery convict Herbert Colangco revealed that the Carcel Side, a coalition of gangs of inmates from the Visayas and Mindanao which he leads, had given De Lima P3 million per month.Carcel is one of the two factions of inmates in the national penitentiary with over 7,000 members belonging to the Oxo Allied Group. The other is the Presidio Side led by drug convict Jaybee Sebastian with over 5,000 inmates, mostly from Luzon.In a four-page affidavit obtained by The STAR, Colangco explained that the amount was for “payola” to then DOJ secretary De Lima “para sa pribilehiyo sa amin at para maipagpatuloy din ang mga negosyo sa Bilibid (for privileges accorded to us and also for our businesses inside the NBP to continue).”“Sa tantiya ko po, ang umiikot na halaga ng droga sa loob ng Bilibid sa pagpayag ni secretary De Lima bago pa kami ilipat sa NBI (National Bureau of Investigation) ay hindi bababa sa limampung milyong piso kada buwan (By my estimate, the amount of illegal drug trade inside the NBP upon permission of secretary De Lima before we were transferred to NBI would not be lower than P50 million per month),” bared the self-styled musician who even managed to produce music videos inside the penitentiary.Apart from illegal drug trade, Colangco confessed that he also ventured into selling beer inside the NBP during De Lima’s time. He said he was allowed to sell beer in can to thousands of inmates during events at NBP for more than 10 times the original price per can and would earn P3 million for 300 boxes.“Ang share ni secretary De Lima sa pag-aapruba sa pagpasok nito ay P1 million. Ito po ay dinadala ng tao kong si Rey sa DOJ o kinukuha ng tao ni secretary De Lima na si Joenel Sanchez (kasama sa security ni De Lima) at ng kanyang boyfriend na si Ronnie Dayan (secretary De Lima’s share for approving the entry of beer was P1 million.It was either delivered by my courier Rey to DOJ or picked up by secretary De Lima’s security aide Joenel Sanchez and her boyfriend Ronnie Dayan),” Colangco further alleged in his notarized affidavit.Colangco, head of the notorious Ozamiz robbery gang, recalled that when he and other high-profile inmates were transferred to the NBI in 2014, Sebastian then had a monopoly of illegal drug trade and other illicit activities inside the NBP.“Ang hindi susunod sa kanyang gusto ay tinatakot na ipapatapon. Naniniwala ang mga tao sa loob ng Bilibid na pwedeng gawin ito sa kanila ni Jaybee Sebastian dahil alam nila ito ay malapit kay secretary De Lima lalo na sa boyfriend nito na si Ronnie Dayan (Those who will defy him were warned to be thrown away.People in the NBP believe that he is capable of doing that because he is known to be close with secretary De Lima, especially with her boyfriend Ronnie Dayan),” he added in the sworn statement signed last Sept. 1. Justice Secretary Vitaliano Aguirre II has confirmed that Colangco, fellow drug convict Noel Martinez and about 10 other inmates would testify before the House of Representatives inquiry on the proliferation of illegal drugs in the NBP. He revealed that eight of them have been transferred to the Intelligence Service of the Armed Forces of the Philippines (ISAFP) custody for fear of their lives inside the national penitentiary in Muntinlupa City. Aguirre said some of the witnesses have bared in separate affidavits that they have collected money from illegal drugs since 2013 to support the senatorial bid of then secretary De Lima.The DOJ chief hinted that there is also a witness who delivered P5 million to De Lima’s house in Parañaque City, which was allegedly personally received by the senator and Dayan. Aguirre added that they also received information that De Lima, wearing a disguise, visited the NBP eight times and would go directly to the “kubol” of Sebastian.He said a letter from Sebastian would be submitted to the House on this matter. Aguirre earlier alleged that secretary De Lima brought out “coached witness” Edgar Matobato, who claimed to be a former member of the Davao death squad, in a desperate move to preempt the “explosive” testimonies and evidence to be presented against her in the House probe that will start on Tuesday.",Public Trending
"Netizens love to read confessions from different people, but a story posted by Facebook page ‘Student Secret Files’ sparked an outrage all over the social because of the ‘disgusting act’ committed by its contributor who hided himself in a pseudonym ‘Mr.K’Mr. K confessed that he made his ex-girlfriend a birthday gift to his friends, literally and he allowed them to feast on the body of his former love.According to his confession, the crime happened after he broke up with “Miya” (the victim), for a certain “valerie”.A friend of Mr. K who’s celebrating his birthday, asked the confessing man for a gift, but he didn’t expected that the present that his barkada that he called ‘jay’ really wanted was his ex-girlfriend Miya.After the birthday celebration, Mr. K who let his friend do the abuse to his ex-girlfriend didn’t expected that Jay is not the only one who feasted on the body of Miya.He saw his traumatized ex and he was informed that his other friends also joined the crime and sexually abused Miya.Mr. K realized that he let his ex-girlfriend became a victim of a gang-rape.According to the confession, it seems that Miya didn’t informed the authorities about the crime happened and her parents brought him to the province to continue her studies.The man who also confessed on Facebook said that he already left the circle of his bad influence friends, but the netizens who read his story didn’t stopped themselves to criticize Mr. K.This is the whole story:Aside from criticizing Mr. K, the netizens also urged the owners of the Facebook page where the controversial story posted to unmask the identity of the suspect and let him suffer the legal consequences for letting his ex.Several days after the story goes viral on social media, the owners of the Student Secret Files announced that Facebook deleted the confession of Mr. K.Its not yet known if the Facebook really removed the post or the admins of the page just deleted it after getting thousands of criticism from the netizens.The story cannot be proven true, unless the Facebook page unmask the real identity of Mr. K.The crime committed by Mr. K could threw him into jail forever.unlawful sexual activity and usually sexual intercourse carried out forcibly or under threat of injury against the will usually of a female or with a person who is beneath a certain age or incapable of valid consent — compare sexual assault, statutory rape.Over 80% of victims are women, maximum incidents occur in the home and 80% of assailants are friends and family of the victim. The most … Of all the reported cases, only 13% end in a conviction. …. With an estimated of 500,000 rape cases every year, the country has one of the highest rates of Rape Crimes in the world.",Netizen admits that he let his friends rape his ex girlfriend as birthday gift
"Currently, it only features a single player 2 vs 2 whole court game which you can expect to be action packed with exaggerated gameplay like jumping beyond human capabilities and fancy slam dunks. It also has no fouls and you can set the length of quarters up to 5 minutes each. There 2 difficulty settings: rookie and veteran.",Pinoy News Blogger
JOIN OTHER READERS WHO GET NEW STORIES BY EMAIL!* Stay up to date with the changing Philippine political landscape.* Learn more about the opportunities and challenges of investing in the Philippines.* Read articles and analyses that will make you rethink the mainstream media headlines.Enter your email and be fully informed.,Economic Data Archives
"An article by rappler declaring war on President Duterte which published by Ana P. Santos.Read Rappler's post below:By: Ana P. SantosOooh, Digong, what have you done to me? To us?Ummm…every day we wait breathlessly for what I know will be another day of biting remarks, expletives and verbal ejaculations like that most recent wolf whistle.Some people say it is the product of a complex mastermind but you and I both know that you’re just being yourself – a bad boy. A very bad boy who gets excited by incensing people, annoying them and sparking discord in an already divided country.Oooh, Digong, you’re so bad you should be spanked.You are not even officially President yet, but you certainly don’t disappoint. Every day you give it to us, harder, deeper than the last time.You were annoyed that you, as Mayor, were not given first dibs to an Australian missionary. You cursed the Pope. And then admonished the United Nations, the multi-agency group that is one of the Philippines’s largest donors. My eyes cannot help but widen each time you brazenly show us that no one could possibly be bigger than you.Whenever you display your manhood like that, it makes me bite my lower lip in anticipation. I know you won’t stop. You will just keep it coming and coming.I know. I shouldn’t be talking like this to the highest elected official in the land, the one who will represent our country and stand alongside other world leaders. I know. You’re old enough to be a grandfather. But I can’t help it. This is what you bring out in me, what you bring out in every person you touch with your words. You are a madman, wild and drunk with power and you are unstoppable.You always need to be the man on top. Wolf-whistling a female journalist (would you do it to a male one, I wonder? C’mon, haven’t you ever wondered what it’s like to get it from behind?) to make a joke at her expense, to make her feel uncomfortable and unsafe? To annoy and insult her husband – just because you think you can. Just because you cannot pass up a chance to show that you’re the man.I imagine you watching from your throne as the country tears itself apart. Filipino against Filipino, all in the name of Digong. Some screaming, “Digong, yes!” Others chanting, “Digong, no!”You like that, don’t you? You like it rough. You like it dirty.You need to show that you’ve earned the nickname “The Punisher” even if, by your own admission, you need to pop a Viagra pill first to do it.Oh, have I insulted you? Or have I flattered you?",Pinoy World
"So what awaits to the guilty party? Let us read Section 50 of RA 8491 to know the appropriate penalties for any violator.Section 50. Any person or juridical entity which violates any of the provisions of this Act shall, upon conviction, be punished by a fine of not less than Five thousand pesos (P5,000) nor more than Twenty thousand pesos (P20,000), or by imprisonment for not more than one (1) year, or both such fine and imprisonment, at the discretion of the court: Provided, That for any second and additional offenses, both fine and imprisonment shall always be imposed: Provided, further, That in case the violation is committed by a juridical person, its President or Chief Executive Officer thereof shall be liable.Section 34 (prohibited acts) paragraph E. “To wear the flag in whole or in part as a costume or uniform”.So what awaits to the guilty party? Let us read Section 50 of RA 8491 to know the appropriate penalties for any violator.Section 50. Any person or juridical entity which violates any of the provisions of this Act shall, upon conviction, be punished by a fine of not less than Five thousand pesos (P5,000) nor more than Twenty thousand pesos (P20,000), or by imprisonment for not more than one (1) year, or both such fine and imprisonment, at the discretion of the court: Provided, That for any second and additional offenses, both fine and imprisonment shall always be imposed: Provided, further, That in case the violation is committed by a juridical person, its President or Chief Executive Officer thereof shall be liable.source Public TrendingSeptember 21, 2017, Manila Philippines - The President allowed any person or group to publicly shout their hail against the government, police and the whole administration.And as expected, many people showed their own ways of letting their voices be heard. But an attempt to show patrionism has gone wrong.An unidentified woman was seen wearing the Philippine flag as a costume on the day of protest.Truly, when one has given too much freedom, they can forget that everything has it's limitation, including democracy.The photo was taken by the Philippine Daily Inquirer during the September 21 rally of the Liberal party, renouncing the Duterte government for alleged human rights violations and other sins against the people.The Facebook page""Digong"" has alerted the social media about the Philippine that the woman in the photo had just possible violated.The OP wrote a caption that reads:You can petition the govt for its abuses and lapses but that does not mean you can blatantly violate our law especially RA 8491 also known as the AN ACT PRESCRIBING THE CODE OF THE NATIONAL FLAG, ANTHEM, MOTTO, COAT-OF-ARMS AND OTHER HERALDIC ITEMS AND DEVICES OF THE PHILIPPINES.","A Woman Was Seen Wearing The Philippine Flag as Costume on ""The National Day of Protest"""
Home/News/Panoorin Ang Video Na Naging Dahilan Ng Pagkahuli Sa 7 Pinay OFW Sa Kuwait At Nahatulan Sila Ng Kamatayan Sa Pamamagitan Ng Bitay! Please Share Po!Panoorin Ang Video Na Naging Dahilan Ng Pagkahuli Sa 7 Pinay OFW Sa Kuwait At Nahatulan Sila Ng Kamatayan Sa Pamamagitan Ng Bitay! Please Share Po!,Panoorin Ang Video Na Naging Dahilan Ng Pagkahuli Sa 7 Pinay OFW Sa Kuwait At Nahatulan Sila Ng Kamatayan Sa Pamamagitan Ng Bitay! Please Share Po!
"A collapsed home is seen after it was hit by a powerful earthquake in Juchitan, Oaxaca state, Mexico, Friday, Sept. 8, 2017. This was the most powerful earthquake to hit Mexico in one hundred years. (Photo by FELIX MARQUEZ / AP)JUCHITAN, Mexico — One of the most powerful earthquakes ever recorded in Mexico and a raging hurricane dealt a devastating one-two punch to the country, killing at least 61 people as workers scrambled to respond to the twin national emergencies.The 8.1 quake off the southern Pacific coast just before midnight Thursday toppled hundreds of buildings in several states. Hardest-hit was Juchitan, Oaxaca, where 36 people died and a third of the city’s homes collapsed or were otherwise rendered uninhabitable, President Enrique Peña Nieto said late Friday in an interview with the Televisa news network.In downtown Juchitan, the remains of brick walls and clay tile roofs cluttered streets as families dragged mattresses onto sidewalks to spend a second anxious night sleeping outdoors. Some were newly homeless, while others feared further aftershocks could topple their cracked adobe dwellings.“We are all collapsed, our homes and our people,” said Rosa Elba Ortiz Santiago, 43, who sat with her teenage son and more than a dozen neighbors on an assortment of chairs. “We are used to earthquakes, but not of this magnitude.”Even as she spoke, across the country, Hurricane Katia was roaring onshore north of Tecolutla in Veracruz state, pelting the region with intense rains and winds.The US National Hurricane Center reported Katia’s maximum sustained winds had dropped to 120 kph (75 mph), making it a Category 1 storm when it made landfall. And it rapidly weakened even further over land into a tropical storm. The center said Katia now is stalling over Mexico’s Sierra Madre mountains and the maximum sustained winds are now down to near 65 kph (40 mph). It was expected to continue to dissipate over the course of Saturday.But the storm could still bring life-threatening floods and a storm surge off the Gulf of Mexico, though the extent of Katia’s impact was unclear in the dark of night.Peña Nieto announced that the earthquake killed 45 people in Oaxaca state, 12 in Chiapas and 4 in Tabasco, and he declared three days of national mourning. The toll included 36 dead in Juchitan, located on the narrow waist of Oaxaca known as the Isthmus, where a hospital and about half the city hall also collapsed into rubble.Next to Ortiz, 47-year-old Jose Alberto Martinez said he and family members have long been accustomed to earthquakes. So when the ground started moving, at first they simply waited a bit for it to stop — until objects began falling and they bolted for the street.“We felt like the house was coming down on top of us,” Martinez said, accompanied by his wife, son and mother-in-law.Now, he didn’t feel safe going back inside until the home is inspected. Right next door an older building had crumbled into a pile of rough timbers, brick and stucco, while little remained of a white church on the corner.Rescuers searched for survivors Friday with sniffer dogs and used heavy machinery at the main square to pull rubble away from city hall, where a missing municipal police officer was believed to be inside.The city’s civil defense coordinator, Jose Antonio Marin Lopez, said similar searches had been going on all over the area since the previous night.Teams found bodies in the rubble, but the highlight was pulling four people, including two children, alive from the completely collapsed Hotel Del Rio where one woman died.“The priority continues to be the people,” Marin said.Peña Nieto said authorities were working to re-establish the supply of water and food and provide medical attention to those who need it. He vowed the government would help rebuild.“The power of this earthquake was devastating, but we are certain that the power of unity, the power of solidarity and the power of shared responsibility will be greater,” Peña Nieto said.Power was cut at least briefly to more than 1.8 million people, and authorities closed schools in at least 11 states to check them for safety.The Interior Department reported that 428 homes were destroyed and 1,700 were damaged in Chiapas alone.“Homes made of clay tiles and wood collapsed,” said Nataniel Hernandez, a human rights worker living in Tonala, Chiapas, who worried that inclement weather threatened to bring more structures down.“Right now it is raining very hard in Tonala, and with the rains it gets much more complicated because the homes were left very weak, with cracks,” Hernandez said by phone.The earthquake also jolted the Mexican capital, which largely lies atop a former lakebed where the soil is known to amplify seismic waves. Memories are still fresh for many of a catastrophic quake that killed thousands and devastated large parts of the city in 1985.The latest earthquake swayed buildings and monuments in the capital more than 1,000 kilometers (650 miles) from the epicenter.Mexico City escaped major damage, though part of a bridge on a highway being built to the site of a planned new international airport collapsed due to the earthquake, local media reported.The quake’s power was equal to Mexico’s strongest in the past century, and it was slightly stronger than the 1985 quake, the US Geological Survey said.However its impact was blunted somewhat by the fact that it struck some 160 kilometers (100 miles) offshore.The epicenter was in a seismic hotspot in the Pacific where one tectonic plate dives under another. These subduction zones are responsible for producing some of the biggest quakes in history, including the 2011 Fukushima disaster and the 2004 Sumatra quake that spawned a deadly tsunami.The quake triggered tsunami warnings and some high waves, but there was no major damage from the sea. Authorities briefly evacuated a few residents of coastal Tonala and Puerto Madero because of the warning.In Veracruz, tourists abandoned coastal hotels as winds and rains picked up ahead of Hurricane Katia’s landfall. Workers set up emergency shelters and residents were urged to avoid going outside or crossing flooded rivers.“The arrival of (hashtag)Katia may be particularly dangerous for slopes affected by the earthquake. Avoid these areas,” Peña Nieto tweeted.","Deadly quake, Hurricane Katia a one-two punch for Mexico  MaharlikaNews @ykhy CW051017"
"A rock star to underwater photographers, Anilao shootout judge David Doubilet reveals a life made peaceful by diving and shaped early in a lake in upstate New York, when he was an asthmatic boy of eight.National Geographic photographer David Doubilet waited 40 years to shoot his dream picture: a clownfish. A male clownfish that was aerating its eggs just before they hatched in the waters of Anilao, Batangas.That was eight years ago and it almost didn’t happen. David was literally on the way to the airport with his wife Jennifer Hayes, a marine biologist, when photographer Gutsy Tuason called him up and told him he was going to Anilao.“Jennifer told me, ‘Get out and see Gutsy,” David says.And a magazine cover was made.One of the questions underwater photographers are always asked — especially those who shoot macro or species the size of your fingernail — is about the wait.Lifestyle Feature – Travel ( Article MRec ), pagematch: 1, sectionmatch: 1“People ask me, how long did it take you to make that picture? I say 40 years,” he says.Last week, David and Gutsy — both authors and award-winning underwater photographers — were back in Anilao, home to the rarest species in the world and a famous dive town three hours from Manila. They joined other judges of the 5th Anilao Underwater Shootout, organized by the Department of Tourism and Philippine Airlines. (PAL is giving extra luggage allowance to divers on their domestic flights in the Philippines.)Dubbed the World Cup of Photo Competitions, the Anilao Underwater Shootout brought together 173 divers and underwater photographers from all over Asia, Europe and North America to compete in Open and Compact Classes with five different categories (macro/supermacro, marine behavior, nudibranch, fish portrait and cephalopod).Among underwater photographers, David Doubilet is a legend. Many of them grew up seeing his photos in the pages of National Geographic. He’s a rock star to divers and underwater photographers.When we sit down for an interview, David reveals a life made peaceful by diving and shaped early in a lake in upstate New York, when he was an asthmatic boy of eight.Excerpts:THE PHILIPPINE STAR: Which came first for you, diving or photography?DAVID DOUBILET: It started all about the same time. I was snorkeling earlier and at 12, I started diving and taking pictures.Where was this?In New Jersey, but my first dive was in a lake in upstate New York in the Adirondack Mountains, not far from where we live now. I went to summer camp and didn’t like it very much. I didn’t like the mountains, I didn’t like the horses or baseball. The counselors gave me a mask and told me to clean out the dock of branches and trees in the lake. And my life changed. Eight years old.What did you see underwater?I can still remember, there were sunfish and other freshwater fish. It was great. We had a summer home in New Jersey and I started diving there. Things were pretty simple, it was the mid ‘50s. We didn’t have wetsuits until about 1960. Back then you made them yourself.How did your career with National Geographic start?I came to Geographic when I was still in university, in my second year at Boston University. I had just won a big international competition in Italy, Mondo Sommerso Prize. I had a friend working for Geographic and went to see the director of photography. He told me they had nothing for me but to come back next year. So I started to work on other kinds of photography. I was shooting with fairly primitive equipment — compared to what we have now — but back then it was pretty sophisticated. I shot a lot of black and white and I learned how to print. That was sort of the basis, the bones of how to see underwater, how to shoot pictures.What has diving taught you about life?That’s a very good question. What divers have, unlike the rest of the world — except for astronauts and mountaineers to a certain extent — is the ability to have a perspective of the rest of the planet. You go underwater and you come up out of the water and you see the planet in a whole new, complex light.Diving teaches you, to a certain extent, about trying to be calm. The biggest enemy of diving is over-exertion. You have to be as calm as you possibly can. Even free divers have to be calm no matter how hard they’re working; they have to remain at a simple, single level of strength. It’s also a great escape. You leave this planet through another place. Not a lot of divers do, but I tend to think a lot underwater.About what?Everything. Especially when I’m shooting, I get very intense, I get very direct. Both Jennifer and I will go to a reef system and we’re very direct in our approach. That’s what you see in this competition in Anilao. People are very intense and literally focused. They are so excited about what they’re doing — and what they’re doing is making art. But it’s an art that involves some of the smallest and arcane parts of the ocean. And yet when they bring it back up, it opens people’s eyes. The competition does a lot of things in terms of self-fulfillment, but it also tells people what the ocean is about.Is there a different kind of satisfaction between photographing critters and bigger species?Some people live and die for the smaller creatures. I like them very much, but I like a lot of different things under the water. I’ll be photographing very small things, but also shipwrecks, aircraft, larger things. A ship that ran aground in Malapascua, right next to where the thresher shark reef is, nearly wiped it out and that would have caused the jobs of 5,000 people. The thresher sharks would have just gone away.Anilao is one of the success stories in the Philippines. Decades ago fishermen were doing dynamite and cyanide fishing, but the NGOs managed to convince them that there’s more money in tourism especially when it involves diving.These guides whom everyone depends on, they work very hard and they’re geniuses. If they were fishermen they would just bang their heads against the wall and come up with almost nothing and families would be in trouble. Diving tourists coming here bring five times, six times the amount of money than somebody coming here to play golf or people backpacking or whatever. Diving is a labor-intensive business.The marine-protected areas around the Philippines are very successful because you have a no-take zone which will in time supply the take zone, and that will increase the number of fish that people can take out of the water. That’s working in many places in the Philippines like Apo Island.So there’s a tourism angle and the fact that people should be well aware of how important the ocean is to the average Filipino. This is a coral nation. No one lives more than 75 miles from the ocean.Do you have a favorite dive site?The next one.Have you been in a dangerous situation underwater?Oh, sure. Well, the most dangerous that Jennifer and I get into are situations that photographers tend to get into. And it’s based upon photographic greed — one more picture, one more story, spend some more time underwater — and all of a sudden you’re pushing your time. There’s always currents and weather that change.I’ve had experiences with all sorts of sharks. Jennifer and I work back to back so we see 360 degrees and we shoot like that. Obviously white sharks are difficult to work with outside a cage because for the most part you see many shark species and you bring them a little bait.We’ve photographed tiger sharks feeding on the remains of a dead sperm whale in the Great Barrier Reef, and then more and more sharks came in because of the oil from the sperm whale’s flesh. It’s a delicious smell for the sharks; they love the smell of turtles and marine mammals, and so they got very aggressive with us.I think the most dangerous thing we’ve done is not in the ocean at all but working on the Okavango Delta in Botswana. There were all sorts of crocodiles and hippos. Every dive, even at night, which was a crazy thing to do there, you could see the crocodiles’ eyes as they came closer and then we’d get out of the water. It was frightening.What was the longest time you’ve had to wait to photograph a certain species?It took me 40 years to get a picture of a clownfish and it happened here in Anilao. I was blown away.What for you is the most beautiful species in the sea?Everybody loves different things. For Jennifer, it would be a harp seal or a sturgeon. For me, strangely enough, I do like clownfish. In South Australia, there are sea dragons and in the Gulf of St Lawrence there’s the Atlantic wolffish. It’s like being asked who’s your favorite child.How different are the challenges between island and ice diving?Diving here is easy, simple — you wear a suit, you go on a boat. In the Antarctic and the Arctic, you wear extremely thick dry suits, waterproof dry suits. We use the most sophisticated dry suits manufactured in Sweden. You have to know the paramaters of little things, like if your hand gets cold you can be in very serious trouble because you can’t get your equipment off. Obviously, polar diving is far more intensive but on the other hand it’s far shorter. A safe scuba dive is about an hour, you can do another hour after that and another one. But to stay in longer than an hour you lose feelings in your fingertips, so you have to balance that out and also be aware of your core temperature.What is the biggest mistake that underwater photographers make and what is your advice for beginners?For divers who want to be underwater photographers, I tell them, “Don’t.” I’m very serious. Don’t do it until you’ve had about a hundred dives. You’re not going to enjoy it, you won’t be happy. You have to look and see and do… I’d recommend to shoot in black and white, but here in Anilao you have wonderful colors. Start with a simple camera, even the camera phones are good. Then you begin to build up things. I think the problem with many photographers is they become very repetitive, so they have to find something they’re very comfortable with and have a look at other people’s pictures.I was talking to photographer Jun de Leon earlier and he said shooting macro made him “realize that there are no accidents, and there is a creator of all of this. Something that small cannot be an accident.” Is diving a religious experience for you as well?In many ways, yes it is. Because you look at something and say, is this the end of evolution or has it taken one more path it’s such a surprise? It’s the force of life on earth. I’m not religious at all — a lot of people are and diving reinforces their beliefs. But it certainly is an evolutionary experience. I think for people who are creationists, it’s not exactly the place to be because everything changes all the time. God didn’t create the leafy sea dragon, something evolved.And then which God created the leafy sea dragon? Was it Jewish, was it Catholic, Christian, Buddhist or Hindu? It’s this constant evolution of this planet and the absolute force of biology to change. But the thing is, no matter how scientific you are, you’ll get to an end point. And after that, that’s when you have the unanswered question, that’s the religious question: How did it all come about? That happens in diving a lot — the constant surprise. And you’re right, it is a very religious moment.* * *Visit the author’s travel blog at www.findingmyway.net. Follow her on Instagram and Twitter @iamtanyalara.","The weird, the beautiful & the Zen of Anilao Underwater Shootout  MaharlikaNews @ykhy CW051017"
"Flippers and snorkeling gears, a police-issued firearm, sets of clothes, first aid kits and food were found inside the black Navarra vehicle owned by a police o fficial of the crime laboratory of Region 11 in Davao, whose driver was reportedly a bomb expert.The confiscated items were believed to be supplies to help the remaining suspected Abu Sayyaf Group (ASG) members in fleeing from Bohol. The police official is under the custody of the local police while the bomb expert is already arrested.",HULI ANG PULIS NA TO NA NAGTANGKA UMANONG MAG RESCUE SA MGA ABU SAYYAF SA BOHOL
"A scratch – and sniff test that asks subjects to identify 40 odors and ranks olfaction is almost as powerful as a predictor of Alzheimer’s disease is a positive test of amyloid.Low scores on the University of Pennsylvania Smell Identification Test (UPSIT) are linked to a thinning of the entorhinal cortex – the brain region where amyloid plaques are thought to first appear as Alzheimer’s disease takes hold, reported at the Alzheimer’s Association International Conference.The findings indirectly suggest that impairment in odor identification may precede thinning in the entorhinal cortex in the early clinical stage of AD.According to him, poor UPSIT sores are also related to brain levels of amyloid beta and are almost as predictive of cognitive decline.These sensory changes appear to be one of the earliest manifestations of Alzheimer’s disease, the researcher said at the Alzheimer’s Association International Conference. Their studies also suggest that the test has a place in the clinic as an easy and inexpensive screening tool for patients with memory complaints said at the Alzheimer’s Association International Conference.The amyloid biomarker tests currently available are not suitable for wide dissemination. Amyloid brain scans are currently investigative; and not covered by Medicare or any private insurance. Lumbar punctures are also invasive and expensive and almost universally disliked by patients. In addition, there is little consensus on how to interpret CSF amyloid levels.Opinion ( Article MRec ), pagematch: 1, sectionmatch: 1“We need easy, noninvasive biomarkers that can be deployed in the clinic for patients who are concerned about their risk of memory decline,” said Columbia University Medical Center, New York.His study concluded that the UPSIT predicted Alzheimer’s disease almost as well as invasive amyloid biomarkers. The scratch – and – sniff test asks subjects to identify 40 odors and ranks olfaction as a normal or mildly, moderately, or severely impaired.He examined the relationship between UPSIT and brain amyloid beta in 84 subjects, 58 of whom had mild cognitive impairment (MCI) at baseline. All of these subjects had either an amyloid brain scan or lumbar puncture to measure amyloid in cerebrospinal fluid. They were followed for at least six months.At follow-up, 67 percent of the group of participants showed cognitive decline. After correction for age, gender, and education, patients who were amyloid- positive on imaging or in CSF were more than seven times as likely to have experienced cognitive decline. However, when it was imputed as a continuous variable, patients with a score of less than 35 on the 40-item test were four times more likely to show cognitive decline than those with a score of 35 or higher.In fact, these low UPSIT scores were much more common among amyloid-positive patients. Of the 38 patients who were positive for amyloid beta on either diagnostic test, 32 had an UPSIT score less than 35, while six had a score of 35 or greater. Among the 46 amyloid-negative patients, 28 had low UPSIT scores, and 18 had normal UPSIT scores.A separate study examined the relationship of UPSIT performance to entorhinal cortical thickness in 397 cognitively healthy subjects who were involved in the Washington Heights-Inwood Columbia Aging Project. These subjects took the UPSIT and had magnetic resonance brain imaging both at baseline and at four years’ follow-up. Over that time, 50 transitioned to dementia, and 49 of them were diagnosed with Alzheimer’s disease. Another 79 subjects experienced cognitive decline.In comparing the groups with and without dementia, he found significant differences in the follow-up UPSIT score (23 vs. 27) and entorhinal cortical thickness (2.9 vs. 3.1 mm).One standard deviation in performance on the UPSIT score was associated with a significant 47 percent increase in the risk of dementia, while one standard deviation in entorhinal cortical thickness was associated with a 22 percent increase in the risk. However, he said, the interaction of entorhinal thickness and UPSIT score was significant only in the group of subjects who transitioned to dementia.","Smell test reflects brain pathologies, risk of Alzheimers  MaharlikaNews @ykhy CW051017"
